0.6289,0.3801,0.8213,-0.5264,-1.4191,0.0458
0.6328,0.3777,0.8198,-0.3967,-1.4801,0.1144
0.6357,0.3794,0.8184,-0.3738,-1.0071,0.206
0.6292,0.3809,0.8203,-0.6104,-0.1144,0.0839
0.6301,0.3755,0.822,-0.5646,0.0458,0.145
0.6326,0.3813,0.8169,-0.7858,0.0992,0.3891
0.6306,0.3809,0.8289,-0.7629,-0.1984,0.5341
0.6333,0.375,0.8184,-0.5035,-0.3281,0.3204
0.6323,0.3794,0.8271,-0.8469,-0.2213,0.2136
0.6299,0.3696,0.8298,-0.6256,-0.3357,-0.0076
0.6306,0.3811,0.8247,-0.7706,-0.4959,0.1678
0.6353,0.3735,0.824,-0.4883,-0.8011,0.1373
0.6323,0.3777,0.8215,-0.7095,-0.7858,0.1526
0.6443,0.3757,0.8267,-0.5798,-0.8011,0.4959
0.6416,0.3779,0.8252,-0.6332,-0.6409,0.0763
0.6316,0.3735,0.8291,-0.8392,-0.2213,0.1068
0.6416,0.3779,0.8252,-0.6332,-0.6409,0.0763
0.6416,0.3779,0.8252,-0.6332,-0.6409,0.0763
0.6274,0.3745,0.8208,-0.6332,-0.0458,0.3662
0.6335,0.3755,0.8252,-0.4654,-0.1602,0.4959
0.6274,0.3777,0.824,-0.5569,-0.3281,0.5722
0.635,0.3743,0.8196,-0.6714,0.0153,0.3128
0.6443,0.3757,0.824,-0.6256,-0.061,0.2213
0.635,0.3743,0.8196,-0.6714,0.0153,0.3128
0.6348,0.3853,0.821,-0.679,-0.2975,0.1907
0.6304,0.373,0.8208,-0.7477,0.0229,0.5875
0.6304,0.3794,0.832,-0.2289,-0.0381,0.3052
0.6296,0.3733,0.8264,-0.4883,0.0458,0.3281
0.6296,0.3733,0.8264,-0.4883,0.0458,0.3281
0.6294,0.3767,0.8201,-0.7706,-0.2365,0.7401
0.6355,0.377,0.8218,-0.5875,-0.2289,0.412
0.6287,0.3809,0.8184,-0.8545,-0.4578,0.1984
0.6357,0.3779,0.8242,-1.0605,0.2594,0.2975
0.6309,0.3789,0.822,-0.6256,-0.1297,0.0839
0.6357,0.3696,0.8262,-0.9918,0.4196,0.2289
0.6279,0.3823,0.8293,-0.5569,-0.5112,0.2975
0.6328,0.3782,0.8198,-0.4578,-0.2975,0.3586
0.6309,0.3835,0.8213,-0.4501,-0.4807,0.3433
0.6223,0.3713,0.8247,-0.7858,-0.0992,0.4272
0.6309,0.3835,0.8213,-0.4501,-0.4807,0.3433
0.6411,0.3748,0.8269,-0.4654,-0.0992,0.3204
0.6362,0.3804,0.8188,-0.6943,0.1831,0.3815
0.6362,0.3804,0.8188,-0.6943,0.1831,0.3815
0.6338,0.3799,0.8218,-0.7172,0.473,0.2899
0.636,0.3779,0.8213,-1.0605,0.1678,0.2518
